 Order_ID , Product  , Quantity , Revenue , Order_Date  
1001, ProductA ,10,200, 2023-09-01 
1002, ProductB ,15,300, 2023-09-02 
1003, ProductC ,8,160, 2023-09-03 
1004, ProductA ,20,400, 2023-09-04 
1005, ProductB ,12,240, 2023-09-05 
1006, ProductC ,18,360, 2023-09-06 
1007, ProductA ,9,180, 2023-09-07 
1008, ProductB ,14,280, 2023-09-08 
1009, ProductC ,22,440, 2023-09-09 
1010, ProductA ,11,220, 2023-09-10 
1011, ProductB ,16,320, 2023-09-11 
1012, ProductC ,19,380, 2023-09-12 
1013, ProductA ,13,260, 2023-09-13 
1014, ProductB ,10,200, 2023-09-14 
1015, ProductC ,25,500, 2023-09-15 
1016, ProductA ,17,340, 2023-09-16 
1017, ProductB ,21,420, 2023-09-17 
1018, ProductC ,12,240, 2023-09-18 
1019, ProductA ,14,280, 2023-09-19 
1020, ProductB ,18,360, 2023-09-20 
1021, ProductC ,23,460, 2023-09-21 
1022, ProductA ,10,200, 2023-09-22 
1023, ProductB ,15,300, 2023-09-23 
1024, ProductC ,16,320, 2023-09-24 
1025, ProductA ,20,400, 2023-09-25 
1026, ProductB ,11,220, 2023-09-26 
1027, ProductC ,14,280, 2023-09-27 
1028, ProductA ,19,380, 2023-09-28 
1029, ProductB ,22,440, 2023-09-29 
1030, ProductC ,12,240, 2023-09-30 
